TelegramBotImageSearch.py[LINE:200]# INFO     [2016-12-02 22:38:54,146]  Start the bot. 
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:38:54,310]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:09,436]  https://api.telegram.org:443 "GET /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/getUpdates?offset=1&timeout=20 HTTP/1.1" 200 317
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:09,881]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:09,881]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:10,241]  https://api.telegram.org:443 "POST /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/sendMessage?chat_id=288164914&text=%D0%9F%D1%80%D0%B8%D0%B2%D0%B5%D1%82%21+%D1%8F+%D1%82%D0%B2%D0%BE%D0%B9+%D0%B1%D0%BE%D1%82.%0A%D0%AF+%D0%BC%D0%BE%D0%B3%D1%83+%D0%BD%D0%B0%D0%B9%D1%82%D0%B8+%D0%B4%D0%BB%D1%8F+%D1%82%D0%B5%D0%B1%D1%8F+%D0%B8%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5.&reply_markup=%7B%22keyboard%22%3A+%5B%5B%7B%22text%22%3A+%22%2Fhelp%22%7D%2C+%7B%22text%22%3A+%22%2Fabout%22%7D%5D%2C+%5B%7B%22text%22%3A+%22%2Fsize%22%7D%2C+%7B%22text%22%3A+%22%2Fnumber%22%7D%5D%2C+%5B%7B%22text%22%3A+%22%2Fsettings%22%7D%5D%5D%7D HTTP/1.1" 200 484
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:14,569]  https://api.telegram.org:443 "GET /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/getUpdates?offset=915039542&timeout=20 HTTP/1.1" 200 316
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:14,585]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:14,585]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:14,882]  https://api.telegram.org:443 "POST /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/sendMessage?chat_id=288164914&text=%D0%92%D1%8B%D0%B1%D0%B5%D1%80%D0%B8%D1%82%D0%B5+%D1%80%D0%B0%D0%B7%D0%BC%D0%B5%D1%80+%D0%B8%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F.&reply_markup=%7B%22keyboard%22%3A+%5B%5B%7B%22text%22%3A+%22%5Cu0431%5Cu043e%5Cu043b%5Cu044c%5Cu0448%5Cu043e%5Cu0439%22%7D%2C+%7B%22text%22%3A+%22%5Cu0441%5Cu0440%5Cu0435%5Cu0434%5Cu043d%5Cu0438%5Cu0439%22%7D%2C+%7B%22text%22%3A+%22%5Cu043c%5Cu0430%5Cu043b%5Cu0435%5Cu043d%5Cu044c%5Cu043a%5Cu0438%5Cu0439%22%7D%5D%5D%7D HTTP/1.1" 200 372
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:16,757]  https://api.telegram.org:443 "GET /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/getUpdates?offset=915039543&timeout=20 HTTP/1.1" 200 307
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:16,772]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:16,772]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:17,343]  https://api.telegram.org:443 "POST /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/sendMessage?chat_id=288164914&text=OK&reply_markup=%7B%22keyboard%22%3A+%5B%5B%7B%22text%22%3A+%22%2Fhelp%22%7D%2C+%7B%22text%22%3A+%22%2Fabout%22%7D%5D%2C+%5B%7B%22text%22%3A+%22%2Fsize%22%7D%2C+%7B%22text%22%3A+%22%2Fnumber%22%7D%5D%2C+%5B%7B%22text%22%3A+%22%2Fsettings%22%7D%5D%5D%7D HTTP/1.1" 200 221
connectionpool.py[LINE:400]# DEBUG    [2016-12-02 22:39:18,171]  https://api.telegram.org:443 "GET /bot195629794:AAE_sDnGaDmdcVozkKMSn9G88ckR413Rheg/getUpdates?offset=915039544&timeout=20 HTTP/1.1" 200 318
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:18,186]  Starting new HTTPS connection (1): api.telegram.org
connectionpool.py[LINE:809]# DEBUG    [2016-12-02 22:39:18,186]  Starting new HTTPS connection (1): api.telegram.org
